,Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3,action mode
WT_Control_55,0.027143,0.03053425,0.028850625,0.134995,0.046489375,0.120387125,0.0294515,0.0352545,0.0284605,0.029731,0.027783625,0.029241375,0.02814975,0.029046625,WT_control
WT_Control_41,0.02427,0.0308625,0.027455,0.2476675,0.03764025,0.152805,0.024726,0.032603,0.023829,0.024608,0.0233925,0.024275,0.0234705,0.0241375,WT_control
WT_Control_45,0.023631,0.03022,0.028205,0.23797,0.05872225,0.2364225,0.030967,0.044555,0.027353,0.029746,0.026957,0.0293135,0.0262365,0.029516,WT_control
WT_Control_51,0.0272135,0.0350975,0.03197325,0.03487,0.03313575,0.1806,0.026451,0.029714,0.025458,0.026452,0.0253535,0.0265005,0.02575675,0.03028,WT_control
WT_Control_50,0.02317225,0.0297335,0.026165375,0.15621375,0.0349865,0.092122375,0.0221265,0.0336685,0.021319,0.021852,0.02153325,0.022223375,0.02114825,0.021787,WT_control
WT_Control_44,0.025593,0.030153,0.03090725,0.2218475,0.0541455,0.127505,0.024545,0.029738,0.02476,0.027861,0.02351075,0.024302,0.0230925,0.0276375,WT_control
WT_Control_52,0.03129,0.0423615,0.02378875,0.02401425,0.02384625,0.0251545,0.022941,0.023995,0.022018,0.02253,0.02199225,0.022207,0.0220065,0.022781,WT_control
WT_Control_46,0.02912175,0.034931,0.030776,0.094307375,0.03749025,0.115449375,0.0297845,0.032621,0.0287495,0.030618,0.027891375,0.028969875,0.027751375,0.02877125,WT_control
WT_Control_47,0.0212605,0.0312505,0.02176275,0.03390225,0.03645375,0.1467575,0.024624,0.025701,0.024201,0.026105,0.022958,0.0236105,0.022173,0.02280375,WT_control
WT_Control_53,0.02133625,0.02560825,0.068979375,0.21209625,0.03613525,0.087474,0.025136,0.0362975,0.0237155,0.024647,0.023552625,0.02466525,0.0236065,0.024674125,WT_control
WT_Control_49,0.03170025,0.033548,0.040183375,0.205795,0.05741425,0.1414925,0.0325465,0.046232,0.031321,0.0323965,0.031149125,0.03354975,0.03090875,0.03206175,WT_control
WT_Control_48,0.0300315,0.0329555,0.06376175,0.212815,0.03459025,0.0753335,0.028852,0.033606,0.030949,0.033564,0.0313235,0.033412,0.029672,0.03262375,WT_control
WT_Control_15,0.030919,0.032228,0.03375725,0.0993405,0.051716,0.1233325,0.035402,0.042272,0.030191,0.031346,0.0297625,0.03109925,0.02931925,0.03037125,WT_control
WT_Control_29,0.029377,0.032414,0.04452975,0.2134375,0.047089,0.132685,0.031372,0.053355,0.028174,0.029405,0.02805,0.02883775,0.02853875,0.02927725,WT_control
WT_Control_1,0.028431,0.03540975,0.040315,0.1519025,0.0367855,0.092332625,0.032674,0.035424,0.0313975,0.033485,0.0309605,0.03326175,0.031009,0.03294925,WT_control
WT_Control_28,0.0308245,0.035873,0.03236525,0.048218,0.1085975,0.17192,0.025976,0.090587,0.022894,0.024136,0.021485,0.02183925,0.02132075,0.02184325,WT_control
WT_Control_14,0.02726725,0.029643,0.02858575,0.0982735,0.05428825,0.092459625,0.028723,0.0330605,0.0268785,0.027748,0.027359625,0.03016725,0.026468875,0.029044125,WT_control
WT_Control_16,0.0246145,0.0279765,0.026632,0.03009475,0.03210725,0.13251,0.028956,0.032538,0.027493,0.028817,0.025842,0.02687825,0.025751,0.0320725,WT_control
WT_Control_2,0.023514,0.0251495,0.02546025,0.1256975,0.03560675,0.122725,0.024425,0.029152,0.023794,0.0247,0.0237005,0.02419825,0.02325975,0.02407,WT_control
WT_Control_3,0.0262985,0.029952,0.030004625,0.066887125,0.03211875,0.04717275,0.026875,0.0284865,0.0262615,0.027956,0.027740625,0.02903975,0.025687625,0.027031,WT_control
WT_Control_17,0.030884,0.044196,0.0882615,0.318295,0.111245,0.1919375,0.033301,0.045993,0.029299,0.031247,0.0289435,0.03131025,0.029449,0.03296125,WT_control
WT_Control_13,0.029453,0.0347905,0.02718675,0.0671305,0.029505,0.04877825,0.028085,0.028468,0.027878,0.028327,0.0277275,0.028221,0.021891,0.0263125,WT_control
WT_Control_7,0.0289015,0.034135,0.036286125,0.063310625,0.035864625,0.13885875,0.0298565,0.035212,0.028604,0.0295965,0.02819325,0.029537125,0.026859875,0.02922925,WT_control
WT_Control_6,0.024508,0.0273465,0.031938125,0.20939375,0.0297365,0.12073,0.0275865,0.0304235,0.026489,0.0277565,0.02176425,0.027917625,0.021159625,0.022312125,WT_control
WT_Control_12,0.0281255,0.0290375,0.02978725,0.21715,0.05414125,0.1331825,0.031393,0.040878,0.027691,0.02975,0.02838975,0.02958775,0.02776575,0.02933525,WT_control
WT_Control_38,0.0281505,0.0329945,0.02890075,0.029873125,0.041286375,0.15108525,0.0295855,0.0363165,0.0261675,0.0273645,0.026288,0.0269955,0.025938875,0.027114125,WT_control
WT_Control_10,0.02800925,0.02988975,0.030927375,0.08953275,0.040826125,0.109980875,0.029054,0.0328365,0.026759,0.0283535,0.026824875,0.02808775,0.026933,0.028652125,WT_control
WT_Control_4,0.0199585,0.0255325,0.028686,0.157195,0.03000425,0.1080975,0.020531,0.028304,0.01944,0.020346,0.01972775,0.02052725,0.021804,0.0223625,WT_control
WT_Control_5,0.023917,0.026203,0.031742,0.2327375,0.0946835,0.210205,0.027121,0.037384,0.024733,0.026254,0.024837,0.0265515,0.02505225,0.02772875,WT_control
WT_Control_11,0.02571175,0.02809275,0.0285565,0.040456625,0.033479375,0.147039,0.0256125,0.029532,0.025584,0.02681,0.025069125,0.02611575,0.02489275,0.027008875,WT_control
WT_Control_39,0.030039,0.0315545,0.05406625,0.271135,0.04405175,0.10516475,0.031503,0.037296,0.030308,0.031808,0.0299865,0.03153925,0.0299195,0.031774,WT_control
