Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3
0.0340375,0.036049,0.04099825,0.04298925000000001,0.039191000000000004,0.1707,0.033892,0.035021,0.033239,0.034355,0.034436249999999995,0.05767175,0.03603125,0.037707
0.034415,0.0364545,0.03407949999999998,0.03783625,0.06937499999999996,0.28003999999999996,0.029846,0.032109,0.029293,0.029947,0.029372750000000003,0.030134,0.02768425,0.030906499999999996
0.03389,0.036551,0.0334105,0.06657325,0.04621725,0.15709499999999998,0.034222,0.036679,0.033142,0.034121,0.049241,0.0937975,0.03190125,0.065914
0.035250000000000004,0.0403005,0.0386385,0.2796075,0.0418905,0.07806125,0.033559,0.03433,0.033705,0.056463,0.03521149999999999,0.07281125,0.0335695,0.035254499999999994
0.044828,0.067393,0.06247075,0.3766725,0.05062900000000001,0.1335075,0.041192,0.046341,0.038952,0.039977,0.03954775,0.040592500000000004,0.0379175,0.039060500000000005
0.040152,0.056334999999999996,0.06338999999999989,0.23823,0.07125224999999989,0.3495275,0.042849,0.047482,0.039694,0.041851,0.0392795,0.041479749999999996,0.03926175,0.04153175
0.0328485,0.043892,0.05022575,0.2173425,0.0384705,0.16712,0.035252,0.036609,0.034976,0.036513,0.03484975,0.037052,0.03477275,0.0361905
0.039558,0.057666999999999996,0.0518985,0.1327975,0.0508125,0.1509675,0.046244,0.055991,0.039404,0.041808,0.038921,0.07620175,0.04099825,0.04321125
0.0300435,0.037388000000000005,0.03607375,0.04026,0.03618,0.042199749999999994,0.032545,0.038515,0.029405,0.047479,0.033931499999999996,0.03903825,0.030188,0.033763749999999974
0.0307605,0.036630499999999996,0.03162475,0.095539,0.09146900000000001,0.2584925,0.039693,0.051756,0.036322,0.039393,0.036034250000000004,0.039398249999999996,0.03573775,0.039051
0.0387595,0.041377,0.038026000000000004,0.040522,0.04042875,0.07787150000000001,0.035888,0.03721,0.035226,0.038812,0.0400455,0.0478955,0.03508675,0.0365285
0.026353500000000002,0.0425805,0.025266,0.043728,0.069927,0.362785,0.034217,0.035738,0.028576,0.036114,0.02742175,0.029905750000000002,0.027528749999999998,0.0294295
0.029069,0.032027,0.028829749999999998,0.02932925,0.0281775,0.030224,0.028531,0.034384,0.028686,0.029371,0.02894825,0.051976749999999926,0.03056275,0.03756175
0.025204999999999998,0.027795,0.024510249999999997,0.0255295,0.0241185,0.025375750000000002,0.023611,0.025219,0.023461,0.025002,0.02361775,0.025327000000000002,0.02358975,0.0252015
0.029822500000000002,0.035006999999999996,0.028365,0.029147,0.030219249999999996,0.07602300000000001,0.028861,0.031587,0.027941,0.029456,0.02806875,0.10628,0.028900000000000002,0.03643575
0.03280699999999995,0.07129399999999994,0.05927775,0.238555,0.05441775,0.19151,0.036912,0.045909,0.03512,0.037376,0.03274499999999993,0.03432675,0.03190475,0.032945
0.024839,0.026252,0.0238345,0.024487750000000003,0.03033425,0.12113700000000001,0.027947,0.032457,0.025227,0.026216,0.0249985,0.025921,0.02458275,0.02578675
0.0312345,0.0612215,0.057168250000000004,0.09558675,0.0295225,0.036355,0.0302,0.058301,0.027627,0.028693,0.02629575,0.027564,0.02429725,0.02580275
0.02367,0.025833000000000002,0.023309749999999997,0.024912249999999997,0.023125,0.025344000000000002,0.022676,0.025046,0.022594,0.024904,0.023201,0.0251995,0.022639,0.025169749999999998
0.025265,0.0260245,0.025222750000000002,0.025960749999999998,0.025302250000000002,0.02608575,0.025248,0.025771,0.025172,0.025863,0.025193,0.02603225,0.025299,0.025818999999999974
0.0320435,0.0498295,0.02977525,0.03032775,0.055206,0.2818675,0.032817,0.065546,0.028255,0.029365,0.0462095,0.1427975,0.034297,0.07329349999999998
0.0379155,0.0552645,0.03486975,0.03631525,0.035637749999999996,0.03781975,0.0346649999999999,0.036575,0.034311,0.035945,0.036557000000000006,0.12206749999999994,0.038064,0.04442
0.0327175,0.03413049999999995,0.035937250000000004,0.081228,0.03196225,0.034125249999999926,0.030218,0.031158,0.029755,0.030681,0.02952425,0.03015825,0.029822,0.0305835
0.034969999999999946,0.038983000000000004,0.033243,0.03426125,0.10347025,0.4129225,0.041263,0.048607,0.036313,0.038355,0.0375365,0.1018675,0.03151,0.03326925
