Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3
0.03203349999999995,0.033267000000000005,0.03282575,0.1164425,0.04649475,0.18155000000000002,0.033184,0.034362,0.033219,0.034057,0.0349435,0.041369249999999996,0.0328465,0.03377925
0.0270885,0.0310805,0.03921225,0.2325475,0.075295,0.1598525,0.028452,0.035404,0.027718,0.029192,0.027571000000000002,0.02905225,0.027531249999999997,0.08244025
0.0290145,0.038277,0.02749775,0.0298845,0.05412474999999997,0.16167,0.032729,0.037451,0.03018,0.031611,0.035923,0.0534715,0.028376000000000002,0.030387499999999998
0.03819699999999995,0.039129,0.039708999999999994,0.24392750000000002,0.046970000000000005,0.07468749999999992,0.03917,0.041127,0.039101,0.040941,0.03916775,0.041292499999999996,0.0393795,0.041105749999999996
0.037057,0.038267,0.03835525,0.324315,0.04971875,0.06073925,0.044585,0.067128,0.037532,0.038896,0.03720375,0.038408750000000005,0.036986000000000005,0.03811425
0.0349435,0.037087499999999995,0.049800250000000004,0.328335,0.0512875,0.168205,0.038823,0.04061,0.039081,0.040034,0.039171250000000005,0.04013725,0.03908925,0.039954250000000004
0.027699500000000002,0.0810075,0.027595,0.0364385,0.026726999999999997,0.02930675,0.02645,0.026623,0.026435,0.02666,0.0264705,0.0267415,0.026388,0.026599750000000002
0.0255265,0.027090999999999997,0.02504725,0.025465250000000002,0.025133250000000003,0.025342750000000004,0.024876,0.02516,0.024802,0.025062,0.024785999999999996,0.025128750000000002,0.024771249999999998,0.025021500000000002
0.0201275,0.021051,0.02017,0.02215475,0.0193865,0.01983275,0.01973,0.02101,0.019323,0.020071,0.0180935,0.018383749999999997,0.0180245,0.018145750000000002
0.034225500000000006,0.037632,0.036479250000000005,0.038978,0.03904325,0.4154275,0.033902,0.035824,0.033732,0.034974,0.03366375,0.034927,0.034322500000000006,0.041083999999999996
0.027722499999999997,0.0515065,0.03105425,0.0359485,0.0272495,0.03264975,0.026866,0.027521,0.02683,0.027426,0.026777250000000002,0.02746875,0.029488749999999998,0.08468949999999997
0.0279945,0.0291875,0.028113000000000003,0.030469499999999997,0.03213375,0.178,0.033954,0.056607,0.028073,0.028741,0.027719,0.028074750000000002,0.02766325,0.028141000000000003
0.0326925,0.08845549999999994,0.0393975,0.056621,0.029857500000000002,0.03483349999999993,0.028286,0.029177,0.028311,0.061858,0.04466950000000001,0.10066,0.028318000000000003,0.0350525
0.031792,0.032758499999999996,0.032843,0.29561249999999994,0.043582749999999996,0.052496,0.0359569999999999,0.037662,0.034443,0.035733,0.035259,0.07035249999999997,0.034209500000000004,0.036381
0.0384035,0.040791,0.041621750000000006,0.3366725,0.05444425,0.18046500000000001,0.038873,0.041945,0.036824,0.038553,0.036783750000000004,0.03828575,0.036949749999999996,0.038587750000000004
0.036555000000000004,0.0433225,0.070162,0.3144025,0.040084,0.048661750000000004,0.037405,0.038941,0.037022,0.038407,0.036569000000000004,0.03784725,0.036485000000000004,0.03798024999999999
0.030995,0.03138749999999995,0.038705250000000004,0.0896555,0.03417325,0.11048499999999992,0.032432,0.034688,0.0322,0.0325839999999999,0.0326015,0.0331065,0.032140749999999996,0.033356750000000004
0.043395,0.0453695,0.06258,0.1362775,0.04550825,0.1864175,0.041548,0.044757,0.041047,0.042495,0.041224,0.04255199999999999,0.0419415,0.0447945
0.031517,0.0331075,0.032069,0.035433,0.04203,0.16379999999999997,0.0327779999999999,0.034955,0.032805,0.036231,0.035073,0.0377695,0.03548075,0.03812325
0.0383055,0.0405615,0.0432735,0.04511,0.04066725,0.042369750000000005,0.039133,0.041365,0.038694,0.041106,0.03862575,0.0412165,0.03916075,0.041523500000000005
0.03257849999999995,0.03389749999999995,0.03342725,0.03465675,0.0323715,0.03336325,0.032357,0.033552,0.03292,0.033905,0.03329525,0.0344925,0.033581499999999924,0.034814
0.028812,0.0322705,0.024725,0.0397105,0.033734,0.04478975,0.026555,0.028358,0.025857,0.028869,0.027249249999999923,0.029664750000000004,0.025707999999999974,0.0289555
0.0332405,0.0415095,0.0244665,0.039222,0.03487,0.04594875,0.026323,0.027946,0.027118,0.028754,0.0284515,0.030026,0.027463749999999995,0.02919475
0.024850999999999998,0.0273375,0.022765749999999998,0.026562749999999996,0.03322675,0.05479325,0.020899,0.021378,0.020797,0.021137,0.0205235,0.020681,0.022203749999999998,0.0226435
0.028743499999999998,0.035432500000000006,0.028596250000000004,0.0302305,0.0291825,0.030312,0.028691,0.030247,0.028865,0.029996,0.0287255,0.030206,0.02861875,0.02990725
0.032714,0.0338895,0.03715625,0.102604,0.0368665,0.040362499999999996,0.034954,0.036412,0.033718,0.03507,0.03324275,0.034147499999999976,0.033162000000000004,0.0338495
0.03257,0.033732,0.03305899999999992,0.21165499999999998,0.03632025,0.0406045,0.032664,0.034099,0.031771,0.032953,0.03159775,0.0332055,0.03131724999999992,0.032596
0.028476500000000002,0.031842499999999996,0.029164,0.03139075,0.03411325,0.076181,0.029547,0.030942,0.029179,0.030296,0.02908375,0.03022925,0.029346,0.03233925
