Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3
0.032934000000000005,0.0350965,0.047980499999999995,0.2134375,0.03724675,0.11062000000000001,0.046517,0.10285,0.028174,0.029405,0.028050000000000002,0.028837750000000002,0.02853875,0.02927725
0.037561,0.042737,0.06405324999999999,0.3687925,0.047089,0.20873999999999998,0.035234,0.03694,0.034489,0.035986,0.034145999999999996,0.03594575,0.03518075,0.037282
0.023925500000000002,0.0248805,0.02449175,0.1367025,0.07870624999999999,0.132685,0.025501,0.082353,0.023975,0.024451,0.023862,0.02431775,0.02390975,0.025468499999999998
0.029531,0.033173999999999995,0.2498925,0.427305,0.07035325,0.375225,0.033568,0.095242,0.039626,0.066613,0.0365415,0.03970675,0.033444,0.0372025
0.021731,0.0225525,0.02657875,0.028256,0.024608,0.027639,0.023156,0.024392,0.022446,0.023068,0.022386250000000003,0.02298175,0.022516249999999998,0.0231635
0.0289615,0.032414,0.029002249999999997,0.200285,0.027906,0.1098575,0.016202,0.018628,0.016061,0.016384,0.016141750000000003,0.01665425,0.017136,0.01791775
0.032344,0.035036,0.04452975,0.30576749999999997,0.07918800000000001,0.286665,0.033031,0.037647,0.035236,0.041136,0.033862,0.03616175,0.033021499999999995,0.03550075
0.0231255,0.023959,0.06901399999999999,0.39196749999999997,0.030221750000000002,0.23565250000000001,0.031372,0.053355,0.024886,0.025985,0.02528825,0.026253,0.025742,0.0270575
0.029377,0.0301665,0.03631675,0.1261425,0.06031375,0.1273625,0.031249,0.063368,0.029871,0.030697,0.02967,0.03016,0.02951525,0.030335
