Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3
0.027567,0.028347999999999998,0.027923999999999997,0.16597499999999993,0.09250225,0.2044325,0.033262,0.044433,0.030468,0.031285,0.029682999999999998,0.03105475,0.02790575,0.0290785
0.024348,0.0247015,0.024618499999999998,0.02547725,0.025605,0.034015000000000004,0.024349,0.025051,0.024298,0.024599,0.024328000000000002,0.02486025,0.0243415,0.024761999999999996
0.0268595,0.027108,0.027028749999999997,0.027388499999999996,0.026936250000000002,0.02731525,0.026886,0.027146,0.026822,0.027036,0.02674775,0.02704075,0.0268,0.027019
0.024973000000000002,0.0264475,0.0247945,0.025151999999999997,0.02698875,0.0305985,0.025183,0.02681,0.025041,0.026119,0.025088,0.027062,0.02508475,0.026260750000000003
0.025709,0.027134,0.02630525,0.02742225,0.02619075,0.027238250000000002,0.025703,0.027292,0.025641,0.027093,0.026040249999999997,0.02719025,0.025613499999999997,0.0270285
0.02628749999999995,0.027077499999999997,0.026418,0.027625,0.026981,0.1168525,0.033873,0.089261,0.026171,0.026784,0.02602375,0.026621,0.0260685,0.02670425
0.0235935,0.0245825,0.022131,0.0225235,0.021638749999999998,0.022725,0.020828,0.021086,0.020423,0.020619,0.02021825,0.020408,0.020422250000000003,0.020679749999999997
0.025204999999999998,0.02953399999999995,0.02450325,0.029518500000000003,0.033231,0.221465,0.023442,0.027461,0.023006,0.023278,0.02289875,0.02333,0.02309775,0.02387025
0.0210445,0.022715,0.02100675,0.021261500000000003,0.0211075,0.021257,0.020992,0.021206,0.020878,0.021043,0.02081375,0.0209725,0.02087325,0.0211015
0.01972,0.020483,0.0197025,0.0198695,0.019786750000000002,0.019977500000000002,0.01976,0.019931,0.019764,0.019931,0.019617250000000003,0.0198285,0.01944825,0.01964575
0.026275,0.0268655,0.026563,0.027359500000000002,0.0263655,0.02737075,0.02628,0.026547,0.026232,0.026732,0.0262015,0.026813000000000003,0.02621325,0.02676025
0.0257685,0.026000000000000002,0.0257195,0.02602275,0.02575075,0.0260385,0.0256779999999999,0.025975,0.025732,0.025909,0.025691000000000002,0.025925749999999997,0.0257245,0.025982
0.0241395,0.025623,0.024004499999999998,0.0240995,0.02417725,0.026052250000000002,0.024145,0.02472,0.024017,0.024312,0.0240825,0.024371499999999997,0.0241595,0.02555275
0.024855500000000003,0.0252015,0.02496875,0.025365,0.02500875,0.02550025,0.024879,0.025215,0.024898,0.025267,0.024787999999999998,0.0252305,0.02485325,0.025124
0.02335,0.0235885,0.0233,0.02353775,0.023348249999999997,0.023575,0.023364,0.023566,0.023321,0.023547,0.02332625,0.023531500000000004,0.02331175,0.02350225
0.0253795,0.027144,0.02617625,0.027478750000000003,0.025495,0.0271875,0.025473,0.026922,0.025346,0.026781,0.025597,0.02732075,0.02531175,0.026761
0.0260515,0.0264305,0.0262605,0.0271295,0.025980749999999997,0.026298999999999996,0.026266,0.028174,0.025933,0.026408,0.02589575,0.026378000000000002,0.025922999999999998,0.026270750000000002
0.024994,0.025498,0.025035500000000002,0.0254505,0.0249205,0.02564525,0.025439,0.029785,0.024685,0.025148,0.024454749999999997,0.024683999999999998,0.02445625,0.024724250000000003
0.0266465,0.033734499999999945,0.0262145,0.026459999999999997,0.026133999999999998,0.026798750000000003,0.025427,0.026192,0.024947,0.025602,0.0199255,0.02145975,0.012341999999999999,0.0130437499999999
0.024917500000000002,0.026251,0.025305750000000002,0.02982075,0.0250905,0.07376475,0.0285779999999999,0.052152,0.026104,0.02773,0.02550125,0.028311749999999924,0.02549775,0.02723975
0.0252285,0.0259065,0.02542075,0.02604925,0.025602999999999997,0.02651525,0.025448,0.025997,0.025161,0.025953,0.025233500000000002,0.025991,0.025204249999999997,0.0259345
0.0245285,0.025938000000000003,0.0243495,0.02462525,0.03922975,0.11039999999999997,0.02561,0.027659,0.02531,0.026909,0.025469000000000002,0.0273025,0.02532775,0.02740025
0.025353,0.0258,0.02530825,0.025673,0.0269475,0.1449625,0.026882,0.031761,0.025705,0.026522,0.02508625,0.025660999999999996,0.025023500000000004,0.0255325
0.028285499999999998,0.0337645,0.0314835,0.03501425,0.040973249999999996,0.15436750000000002,0.033544,0.054825,0.031225,0.034763,0.030731,0.03414825,0.02768725,0.033327999999999997
0.025745,0.0259715,0.02576,0.0259925,0.025847499999999995,0.026429750000000002,0.025765,0.026072,0.025742,0.025905,0.025742499999999998,0.025951000000000002,0.025746,0.02596325
0.023717000000000002,0.023979,0.023946,0.024168250000000002,0.023812,0.030968,0.023653,0.024352,0.023806,0.024093,0.02385025,0.024171250000000002,0.02369975,0.02399425
0.023286,0.0260055,0.023240250000000004,0.024455249999999998,0.0244055,0.0286095,0.023308,0.026218,0.023239,0.025925,0.023337499999999997,0.02701675,0.02329325,0.026284500000000002
0.022069,0.023327,0.021312249999999998,0.021848,0.021435,0.021883,0.020785,0.02125,0.020824,0.021449,0.021000500000000002,0.021610499999999998,0.021195500000000003,0.021755
0.02281,0.023059,0.022867,0.023107750000000003,0.032120499999999996,0.06071125,0.025181,0.026965,0.024726,0.024972,0.02429675,0.02461075,0.02414975,0.024405
0.02175,0.022307,0.021312249999999998,0.021848,0.021435,0.021883,0.020785,0.02125,0.020824,0.021449,0.021000500000000002,0.021610499999999998,0.021195500000000003,0.021755
0.027278999999999998,0.027724,0.0273005,0.03708225,0.0275865,0.039253249999999996,0.027623,0.028374,0.027446,0.02777,0.027432,0.027840250000000004,0.02728925,0.027788
0.024087,0.024537,0.02349425,0.0239595,0.0238345,0.024211999999999997,0.024184,0.024562,0.024203,0.024572,0.023962749999999998,0.024378499999999997,0.023226999999999998,0.0236595
0.025354,0.025572,0.0253765,0.02550225,0.025349,0.025589,0.025379,0.025582,0.025399,0.025589,0.025348750000000003,0.02563325,0.025337,0.025550499999999997
0.0242945,0.024743,0.0242945,0.024598500000000002,0.024412999999999997,0.02487375,0.024374,0.024689,0.02433,0.024768,0.0243395,0.024473,0.0243145,0.02490675
0.030065500000000002,0.0303195,0.030139,0.0303465,0.03043525,0.03183475,0.030159,0.030599,0.030076,0.03034,0.03014375,0.030401249999999998,0.030145,0.03039325
0.026049,0.0279615,0.02588,0.029526499999999997,0.026335249999999998,0.027979,0.025989,0.027887,0.026032,0.028435,0.0259425,0.026923750000000003,0.026073,0.027920749999999998
0.0311975,0.033593,0.033545,0.034464,0.0382495,0.07587375,0.0318339999999999,0.041921,0.030868,0.033864,0.03092275,0.03323999999999998,0.030879749999999997,0.033430249999999995
0.0243885,0.0252335,0.024399999999999998,0.0249125,0.024668500000000003,0.02529375,0.024345,0.025297,0.024404,0.025307,0.02439775,0.025251000000000003,0.024317,0.02521625
0.0255275,0.025941,0.025814499999999997,0.027424,0.03392875,0.048484,0.025609,0.03081,0.025495,0.025975,0.02551925,0.0259345,0.025498250000000004,0.02596875
0.0259105,0.028532000000000002,0.02632075,0.028395499999999997,0.025784750000000002,0.027937,0.025681,0.027925,0.025945,0.027982,0.02587425,0.02750775,0.0256485,0.028282
0.025585499999999997,0.031039999999999998,0.02511025,0.0311735,0.02423575,0.0255955,0.025995,0.030971,0.024194,0.027955,0.02460025,0.0277915,0.025536000000000003,0.03089475
0.028733,0.029242999999999998,0.028637500000000003,0.028905,0.028736249999999998,0.029033499999999997,0.028818,0.029156,0.02879,0.029398,0.02894325,0.029544,0.02879,0.0290665
