Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3
0.0454035,0.050486,0.050020999999999996,0.370005,0.060430250000000005,0.203745,0.038979,0.048631,0.037673,0.03894,0.03808325,0.039071,0.0378995,0.039094000000000004
0.039742,0.041853,0.05164175000000001,0.060190999999999995,0.11776,0.1485225,0.038879,0.04851,0.037918,0.038743,0.03807675,0.0391855,0.03760075,0.0390785
0.036137,0.037219,0.27573000000000003,0.5602,0.05313025,0.071616,0.036279,0.048387,0.035652,0.037381,0.035436499999999996,0.036623,0.031105,0.033267
0.039247,0.042344,0.07747299999999999,0.31486749999999997,0.0658515,0.149545,0.039123,0.064447,0.036153,0.037632,0.036132000000000004,0.03782825,0.03612025,0.03799775
0.036963499999999996,0.0419885,0.04853,0.3727025,0.06923475,0.192455,0.044767,0.05238,0.042783,0.04497,0.04514275,0.04804475,0.043042250000000004,0.0461765
0.0354405,0.0365815,0.039166,0.35224750000000005,0.04972825,0.1033875,0.04095,0.051583,0.043301,0.059576,0.0476775,0.051608749999999995,0.03377375,0.035622
0.0426895,0.052493,0.08091024999999999,0.30526,0.0512715,0.10131975,0.044974,0.047715,0.041587,0.042571,0.04081575,0.041814250000000004,0.04116525,0.042382
0.032558500000000004,0.0341285,0.0222775,0.04610450000000001,0.02039825,0.03664525,0.016728,0.01696,0.016661,0.01685,0.016735,0.01690525,0.017452000000000002,0.01898025
0.0282525,0.046314499999999995,0.0380785,0.2653975,0.04127825,0.087412,0.036561,0.068986,0.035212,0.036856,0.03546375,0.03637225,0.03498275,0.036334000000000005
0.0175705,0.0226365,0.01687775,0.0171805,0.016758500000000003,0.019002500000000002,0.016728,0.016933,0.016661,0.01685,0.016735,0.01690525,0.017452000000000002,0.01898025
0.025023,0.027029,0.025846,0.030132,0.032221,0.25617,0.028936,0.083774,0.026189,0.02723,0.025544249999999998,0.02618825,0.025534750000000002,0.026321
