Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3
0.029103,0.045327,0.23563249999999997,0.4484375,0.1409775,0.33754249999999997,0.031345,0.19554,0.029194,0.030702,0.029017,0.030649749999999996,0.029262749999999997,0.03057975
0.027304000000000002,0.031522,0.030477999999999998,0.22559500000000002,0.11384,0.25169,0.027959,0.077863,0.026751,0.027478,0.0264955,0.0270065,0.02616075,0.02661475
0.0266225,0.027494,0.026806,0.02781825,0.027236999999999997,0.0282595,0.027132,0.027694,0.027088,0.02781,0.02698225,0.02758,0.026652500000000003,0.027398
0.028697,0.029580000000000002,0.028542,0.030464750000000002,0.04865375,0.154915,0.031912,0.034921,0.030928,0.031794,0.030603999999999996,0.031497000000000004,0.030414,0.031182
0.031119,0.0334,0.03175475,0.033563,0.03251775,0.041946,0.029499,0.03111,0.029526,0.030785,0.029551,0.030865999999999998,0.02947275,0.03095675
0.028994,0.0574225,0.03271125,0.24686750000000002,0.1172675,0.14488499999999999,0.028324,0.030802,0.026782,0.034311,0.026026999999999998,0.02659125,0.025894499999999997,0.02681025
0.0251525,0.0282345,0.05297375,0.4308975,0.121435,0.51275,0.026327,0.055176,0.02379,0.024448,0.02363275,0.0243175,0.023601249999999997,0.024122499999999998
0.0284805,0.0498275,0.024157500000000002,0.3935075,0.039948,0.2121375,0.027032,0.030797,0.025122,0.026344,0.0246555,0.02617825,0.024807500000000003,0.02870375
0.019715,0.0207995,0.049655,0.10398249999999999,0.041570750000000004,0.06238275,0.017722,0.038961,0.016608,0.017174,0.01596575,0.01664725,0.01765075,0.0184085
0.025394,0.0379035,0.027024,0.1093325,0.0886745,0.11967,0.030806,0.089995,0.028473,0.029633,0.02779375,0.028841250000000002,0.027654250000000002,0.02876125
0.012348000000000001,0.0127375,0.0167135,0.0208845,0.016138,0.02620625,0.011845,0.01225,0.01163,0.011715,0.0115185,0.0115965,0.011496,0.011588749999999998
0.0202395,0.0230435,0.18473,0.329665,0.190475,0.319935,0.022812,0.074958,0.02003,0.022081,0.021955,0.034369000000000004,0.0216545,0.02464625
